z, y, u_fluc, v_fluc, w_fluc
    0.001729,    0.000005,    0.866833,   -0.874867,    3.854048
    0.001862,    0.000005,   15.054067,   -1.917373,    8.792403
    0.001995,    0.000005,    8.373277,   -0.028264,   -0.901077
    0.002128,    0.000005,   44.841315,   -3.202180,   16.998625
    0.002261,    0.000005,   35.363668,   -2.960302,    5.882478
    0.002394,    0.000005,    1.401841,    1.937464,   -0.153747
    0.002527,    0.000005,    3.245095,    3.526605,    1.213448
    0.002660,    0.000005,   10.843111,   -0.631186,   -0.377139
    0.002793,    0.000005,   18.918608,   -1.366087,    8.518818
    0.002926,    0.000005,  -18.439575,   -0.416478,   10.650008
    0.003059,    0.000005,   31.120819,    1.172282,   11.717871
    0.003192,    0.000005,    2.059591,   -0.950212,   13.235212
    0.003325,    0.000005,   37.785640,    2.986313,   -7.800713
    0.003458,    0.000005,  -10.037956,    4.409586,   -6.184539
    0.003591,    0.000005,   -1.204946,    4.403877,    7.117408
    0.003724,    0.000005,   30.217873,    5.375246,   -4.733076
    0.003857,    0.000005,    1.690409,    0.207304,    6.434735
    0.003990,    0.000005,   29.578370,   -3.744514,   16.327273
    0.000133,    0.000006,   25.092274,   -6.757211,    9.110508
    0.000266,    0.000006,   35.234472,   -4.560388,  -14.684265
    0.000399,    0.000006,   10.935049,   -8.450696,  -20.443807
    0.000532,    0.000006,  -30.127053,    2.703422,   -0.797272
    0.000665,    0.000006,   12.265797,    1.087375,   24.633401
    0.000798,    0.000006,  -29.301001,   11.498556,   15.284109
    0.000931,    0.000006,   17.245672,    6.433089,    1.934275
    0.001064,    0.000006,   18.653079,    2.545131,   -1.201405
    0.001197,    0.000006,   22.621405,   -0.404262,  -15.262307
    0.001330,    0.000006,   21.495187,    0.155162,   -2.739919
    0.001463,    0.000006,    7.630828,   -8.417457,   -5.769755
    0.001596,    0.000006,   18.791822,   -6.335952,   21.086994
    0.001729,    0.000006,    3.170858,   -2.413550,    3.625709
    0.001862,    0.000006,   18.692583,   -4.915602,   11.592849
    0.001995,    0.000006,    8.598016,    0.480454,    0.587922
    0.002128,    0.000006,   44.548562,   -2.829095,   19.729075
    0.002261,    0.000006,   43.323484,   -3.253123,    6.556532
    0.002394,    0.000006,   -3.017160,    3.169614,    1.201268
    0.002527,    0.000006,    1.552515,    4.850347,    3.719987
    0.002660,    0.000006,    9.771674,   -1.029950,    2.047910
    0.002793,    0.000006,   21.736289,   -0.687477,   11.609401
    0.002926,    0.000006,  -24.971254,   -1.227244,   11.399153
    0.003059,    0.000006,   39.672437,    2.599544,   12.726417
    0.003192,    0.000006,    1.737175,   -0.167844,   17.724853
    0.003325,    0.000006,   48.664020,    4.991882,   -8.046850
    0.003458,    0.000006,  -18.072708,    6.765087,   -5.611523
    0.003591,    0.000006,   -6.362147,    5.078224,    6.999274
    0.003724,    0.000006,   37.648662,    7.685026,   -6.970764
    0.003857,    0.000006,   -1.270767,    2.078112,    7.276554
    0.003990,    0.000006,   37.808288,   -3.530910,   18.670846
    0.000133,    0.000007,   28.766279,   -6.710194,    9.489288
    0.000266,    0.000007,   40.327596,   -5.357931,  -15.835439
    0.000399,    0.000007,    9.266784,   -9.968148,  -22.044493
    0.000532,    0.000007,  -40.910331,    3.881152,   -1.793976
    0.000665,    0.000007,   15.390437,    0.433149,   29.238716
    0.000798,    0.000007,  -32.773960,   12.745561,   14.587432
    0.000931,    0.000007,   20.558726,    6.219179,    3.000475
    0.001064,    0.000007,   24.483701,    3.302942,    1.348539
    0.001197,    0.000007,   24.148557,    1.332003,  -17.351115
    0.001330,    0.000007,   27.653413,   -0.163244,   -2.309070
    0.001463,    0.000007,    7.089416,   -9.923263,   -8.606557
    0.001596,    0.000007,   21.648633,   -5.259648,   20.776971
    0.001729,    0.000007,   10.035372,   -3.786395,    4.507976
    0.001862,    0.000007,   19.224523,   -6.190355,   14.420864
    0.001995,    0.000007,    8.321414,    0.747375,    3.639709
    0.002128,    0.000007,   41.732253,   -2.193960,   23.033327
    0.002261,    0.000007,   47.249841,   -3.178059,    3.685564
    0.002394,    0.000007,   -8.683076,    3.579984,    2.432969
    0.002527,    0.000007,    1.384497,    5.064958,    6.665432
    0.002660,    0.000007,    4.300214,   -1.439891,    5.038670
    0.002793,    0.000007,   18.457089,    0.225248,   16.130483
    0.002926,    0.000007,  -32.674349,   -1.390035,   12.358587
    0.003059,    0.000007,   50.106007,    2.914368,   12.481092
    0.003192,    0.000007,   -1.953802,    0.883385,   21.339582
    0.003325,    0.000007,   57.070443,    5.165341,   -8.588680
    0.003458,    0.000007,  -29.987648,    3.785832,   -4.715847
    0.003591,    0.000007,  -11.458719,    2.499350,    5.265264
    0.003724,    0.000007,   42.308519,    9.156869,   -8.846171
    0.003857,    0.000007,   -1.924466,    2.587758,    7.350616
    0.003990,    0.000007,   50.078160,   -3.966567,   20.387526
    0.000133,    0.000008,   27.550152,   -5.860847,    8.937021
    0.000266,    0.000008,   41.246992,   -2.565865,  -17.934391
    0.000399,    0.000008,    9.369456,  -10.002578,  -23.783100
    0.000532,    0.000008,  -51.026490,    3.485111,   -3.720920
    0.000665,    0.000008,   21.605623,    2.526742,   32.430174
    0.000798,    0.000008,  -36.138319,   14.023983,   14.007088
    0.000931,    0.000008,   26.199620,    7.249014,    4.361840
    0.001064,    0.000008,   31.879061,    1.900445,    2.848399
    0.001197,    0.000008,   28.594579,    0.694330,  -20.533530
    0.001330,    0.000008,   36.969163,    4.034672,   -4.578422
    0.001463,    0.000008,    5.469053,   -8.015662,  -12.709772
    0.001596,    0.000008,   26.292916,   -2.073490,   20.254198
    0.001729,    0.000008,   16.328359,   -5.314910,    6.421002
    0.001862,    0.000008,   15.210688,   -7.115231,   18.122172
    0.001995,    0.000008,    8.695780,    1.955823,    7.426022
    0.002128,    0.000008,   38.375970,   -0.828205,   27.532363
    0.002261,    0.000008,   47.114933,   -2.675750,    1.824334
    0.002394,    0.000008,  -12.488155,    2.738782,    3.068256
    0.002527,    0.000008,    7.282416,    4.280306,    9.289297
    0.002660,    0.000008,    0.146793,   -3.248370,    8.585902
    0.002793,    0.000008,   16.165718,   -0.962898,   20.511196
    0.002926,    0.000008,  -41.803964,   -1.295974,   13.608314
    0.003059,    0.000008,   61.688650,    1.127019,   10.150728
    0.003192,    0.000008,   -3.625785,    0.142334,   25.283808
    0.003325,    0.000008,   66.430429,    9.043910,   -8.462249
    0.003458,    0.000008,  -46.985311,    5.187497,   -1.174615
    0.003591,    0.000008,  -20.503294,    1.283033,    1.072570
    0.003724,    0.000008,   42.752144,    8.746247,  -10.546463
    0.003857,    0.000008,   -2.332990,   -0.223204,    6.236752
    0.003990,    0.000008,   61.121898,   -6.627860,   23.159834
    0.000133,    0.000010,   22.941439,   -5.009355,    6.282522
    0.000266,    0.000010,   37.902868,   -0.317645,  -23.236925
    0.000399,    0.000010,   20.295178,  -10.873202,  -25.815889
    0.000532,    0.000010,  -52.810020,    0.469069,   -5.059352
    0.000665,    0.000010,   30.243393,    1.501956,   35.801953
    0.000798,    0.000010,  -39.659263,   14.197651,   14.255123
    0.000931,    0.000010,   34.853403,    7.016557,    4.769591
    0.001064,    0.000010,   37.641407,    1.948488,    2.472381
    0.001197,    0.000010,   37.021231,    2.233717,  -22.248797
    0.001330,    0.000010,   48.375671,    4.432043,   -4.065745
    0.001463,    0.000010,    6.395093,   -4.899152,  -15.206138
    0.001596,    0.000010,   34.268597,    0.214268,   16.616933
    0.001729,    0.000010,   26.430676,   -4.783434,    6.444271
    0.001862,    0.000010,   12.241900,   -6.892487,   17.167556
    0.001995,    0.000010,   11.266338,    2.114966,    9.535739
    0.002128,    0.000010,   30.900932,    2.598417,   29.670871
    0.002261,    0.000010,   42.120080,   -3.805298,   -2.082168
    0.002394,    0.000010,  -16.893356,    1.797281,    2.208174
    0.002527,    0.000010,    9.075859,    1.381505,   13.351341
    0.002660,    0.000010,   -4.097713,   -5.642272,    9.256172
    0.002793,    0.000010,    9.336108,    0.018633,   21.900816
    0.002926,    0.000010,  -42.481510,   -2.972566,   13.987533
    0.003059,    0.000010,   68.095483,   -2.376567,    7.778098
    0.003192,    0.000010,   -7.117247,    2.793563,   31.132537
    0.003325,    0.000010,   66.251456,    7.649797,   -6.988458
    0.003458,    0.000010,  -65.376433,    5.278199,    1.563914
    0.003591,    0.000010,  -29.155653,   -3.782003,   -3.751751
    0.003724,    0.000010,   39.440287,    9.179996,  -12.684297
    0.003857,    0.000010,   -0.886763,   -3.837157,    5.172513
    0.003990,    0.000010,   71.016325,   -5.162501,   23.631944
    0.000133,    0.000011,   11.688665,   -1.160477,    4.661810
    0.000266,    0.000011,   37.817661,    2.201486,  -28.617568
    0.000399,    0.000011,   35.013157,   -8.548185,  -28.455576
    0.000532,    0.000011,  -54.460753,   -2.377744,   -6.863480
    0.000665,    0.000011,   41.051002,   -0.857487,   40.718842
    0.000798,    0.000011,  -41.361011,   12.197045,   12.347684
    0.000931,    0.000011,   40.880945,    3.340946,    1.311197
    0.001064,    0.000011,   39.834082,   -2.080940,    3.238672
    0.001197,    0.000011,   43.690311,    3.007882,  -20.466067
    0.001330,    0.000011,   57.741158,    8.036667,   -3.248047
    0.001463,    0.000011,    1.295289,   -3.891567,  -16.469263
    0.001596,    0.000011,   43.477346,    1.694245,   13.308860
    0.001729,    0.000011,   37.183473,   -2.016255,    6.666704
    0.001862,    0.000011,    8.754358,   -3.187862,   15.395693
    0.001995,    0.000011,   15.019340,    2.722194,   10.694644
    0.002128,    0.000011,   26.623471,    2.939445,   29.450075
    0.002261,    0.000011,   35.460789,   -3.226218,   -8.398831
    0.002394,    0.000011,  -21.688722,    0.549314,    2.671760
    0.002527,    0.000011,    7.596854,    1.707166,   17.653402
    0.002660,    0.000011,   -1.472309,   -8.125411,   11.349881
    0.002793,    0.000011,    2.790071,    2.825766,   22.089645
    0.002926,    0.000011,  -36.603306,   -5.121919,   13.502613
    0.003059,    0.000011,   76.580849,   -3.189302,    5.560878
    0.003192,    0.000011,   -6.718605,    4.909874,   38.205658
    0.003325,    0.000011,   52.884715,    4.586629,   -6.251773
    0.003458,    0.000011,  -81.170921,    5.916217,    3.997108
    0.003591,    0.000011,  -37.511011,   -6.352194,   -6.479927
    0.003724,    0.000011,   41.268395,    5.660491,  -12.706456
    0.003857,    0.000011,    3.863927,   -9.274537,    4.853821
    0.003990,    0.000011,   85.287494,   -3.872250,   24.441300
    0.000133,    0.000012,    6.025332,    2.107502,    2.736133
    0.000266,    0.000012,   32.914957,    0.297908,  -32.551221
    0.000399,    0.000012,   54.698350,   -8.259952,  -29.702019
    0.000532,    0.000012,  -54.338754,   -4.360264,   -7.826915
    0.000665,    0.000012,   49.683899,    0.127740,   45.123483
    0.000798,    0.000012,  -45.410009,   13.001336,    9.437729
    0.000931,    0.000012,   51.864846,    1.259336,   -0.351070
    0.001064,    0.000012,   46.537468,   -6.979719,    5.858976
    0.001197,    0.000012,   56.822333,    5.047588,  -18.064654
    0.001330,    0.000012,   66.786629,    8.020038,   -3.077475
    0.001463,    0.000012,  -10.160779,   -2.248337,  -14.974706
    0.001596,    0.000012,   53.119488,    5.025685,    6.139711
    0.001729,    0.000012,   47.059912,   -0.208776,    5.350906
    0.001862,    0.000012,   -0.177974,   -2.190789,    9.565733
    0.001995,    0.000012,   20.140210,    4.765652,   10.017194
    0.002128,    0.000012,   13.371894,    2.818730,   28.164839
    0.002261,    0.000012,   30.387606,   -0.994506,  -16.184200
    0.002394,    0.000012,  -34.355334,   -3.010071,   -2.077912
    0.002527,    0.000012,    0.908655,    1.360965,   18.406814
    0.002660,    0.000012,    1.535772,   -9.172898,   13.080657
    0.002793,    0.000012,   -5.613118,    4.745333,   23.582832
    0.002926,    0.000012,  -28.395188,   -7.308775,   10.602483
    0.003059,    0.000012,   88.728196,   -5.047891,    2.569021
    0.003192,    0.000012,    1.184892,    6.417683,   42.611299
    0.003325,    0.000012,   47.286940,    1.592436,   -6.868850
    0.003458,    0.000012,  -93.874834,    6.730951,    4.376958
    0.003591,    0.000012,  -38.222161,   -3.630081,   -9.745051
    0.003724,    0.000012,   45.205065,    3.307969,  -13.395336
    0.003857,    0.000012,   13.053084,  -12.616982,    7.739590
    0.003990,    0.000012,   94.710221,   -1.676454,   21.869203
    0.000133,    0.000014,   -6.735438,    8.367929,    0.447299
    0.000266,    0.000014,   27.595416,   -2.512459,  -36.096062
    0.000399,    0.000014,   66.472045,   -5.799977,  -28.880244
    0.000532,    0.000014,  -42.699546,   -7.220851,  -10.981048
    0.000665,    0.000014,   52.531885,    3.981480,   44.954603
    0.000798,    0.000014,  -40.596103,   13.734867,    5.256523
    0.000931,    0.000014,   61.695421,   -2.099078,   -0.865641
    0.001064,    0.000014,   45.062867,   -8.783021,   10.626386
    0.001197,    0.000014,   70.515570,    9.260222,  -16.427392
    0.001330,    0.000014,   75.224041,    7.898621,    1.245786
    0.001463,    0.000014,  -29.492656,    1.945735,   -8.332142
    0.001596,    0.000014,   62.461060,    5.134413,   -3.017661
    0.001729,    0.000014,   54.143136,    2.788851,    4.997912
    0.001862,    0.000014,  -12.427141,    0.132606,    5.106907
    0.001995,    0.000014,   24.540438,    6.277537,    7.485261
    0.002128,    0.000014,   -5.473678,    4.471454,   29.345808
    0.002261,    0.000014,   22.430799,   -0.693795,  -24.041896
    0.002394,    0.000014,  -44.652104,   -8.482656,   -6.418214
    0.002527,    0.000014,  -11.094281,    0.593335,   20.029416
    0.002660,    0.000014,   -3.624378,   -9.873661,   14.617597
    0.002793,    0.000014,  -15.707683,    2.652335,   24.861885
    0.002926,    0.000014,  -20.717870,   -6.744347,    8.106337
    0.003059,    0.000014,   97.513912,  -12.358064,   -0.937737
    0.003192,    0.000014,    8.370865,    4.961962,   45.963418
    0.003325,    0.000014,   45.293584,   -1.496985,   -8.954637
    0.003458,    0.000014, -116.225662,    5.974092,    6.027896
    0.003591,    0.000014,  -39.302777,   -5.322788,  -13.897284
    0.003724,    0.000014,   46.714984,    1.384201,  -15.376167
    0.003857,    0.000014,   19.576186,  -16.471936,   11.391679
    0.003990,    0.000014,  104.961988,    0.514536,   17.899680
    0.000133,    0.000015,  -15.296947,   13.529323,    0.590396
    0.000266,    0.000015,   37.545057,   -7.351367,  -44.799957
    0.000399,    0.000015,   81.184585,   -5.862217,  -29.062839
    0.000532,    0.000015,  -30.798910,   -8.697170,   -8.811207
    0.000665,    0.000015,   58.331305,    8.432828,   44.040443
    0.000798,    0.000015,  -48.989273,   15.317968,   -0.007961
    0.000931,    0.000015,   70.065991,    2.594270,    3.223936
    0.001064,    0.000015,   30.002903,   -6.048701,   15.075245
    0.001197,    0.000015,   79.212131,   10.512729,  -15.838439
    0.001330,    0.000015,   83.424413,   12.752668,    7.749576
    0.001463,    0.000015,  -39.772995,    5.037640,   -1.197742
    0.001596,    0.000015,   62.964825,    4.589303,   -9.466505
    0.001729,    0.000015,   54.244477,    4.546564,    5.291017
    0.001862,    0.000015,  -16.155804,    1.348142,   -1.679967
    0.001995,    0.000015,   29.330914,    6.365347,    5.406567
    0.002128,    0.000015,  -25.641310,    7.872091,   34.145005
    0.002261,    0.000015,   22.086019,   -2.727815,  -30.895060
    0.002394,    0.000015,  -42.520784,   -8.717577,   -6.993777
    0.002527,    0.000015,  -26.871448,    0.452050,   24.074889
    0.002660,    0.000015,   -6.354800,   -8.016707,   15.506244
    0.002793,    0.000015,  -26.631408,    2.744685,   25.438172
    0.002926,    0.000015,    0.299953,   -7.814692,    5.053106
    0.003059,    0.000015,  105.900621,  -12.440296,  -10.032415
